epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,25052.3,1.2794,0.96271,1.25452,0.48777,0.43217,0.39421,0.1907,1.76368,1.41866,1.68363,0.000594125,0.000594125,0.000594125
55,26231.5,1.27782,0.9533,1.25244,0.45976,0.45085,0.38396,0.18885,1.77574,1.41219,1.69408,0.00058175,0.00058175,0.00058175
56,29111.7,1.27455,0.941,1.24287,0.4819,0.41092,0.38452,0.18583,1.77992,1.415,1.70446,0.000569375,0.000569375,0.000569375
57,30068.3,1.27092,0.93598,1.2508,0.491,0.42838,0.40062,0.19661,1.75018,1.4338,1.66534,0.000557,0.000557,0.000557
58,31635.8,1.25769,0.92538,1.24105,0.42286,0.44325,0.38983,0.19107,1.78056,1.44263,1.71084,0.000544625,0.000544625,0.000544625
59,32420.6,1.25694,0.92158,1.24196,0.47116,0.44166,0.39592,0.19175,1.77603,1.42857,1.70317,0.00053225,0.00053225,0.00053225
60,33026.3,1.26148,0.92911,1.24346,0.52059,0.42936,0.41123,0.20176,1.78182,1.41333,1.70697,0.000519875,0.000519875,0.000519875
61,35619.9,1.23977,0.90117,1.22624,0.47919,0.43683,0.38581,0.18659,1.78738,1.44229,1.71321,0.0005075,0.0005075,0.0005075
62,36512.1,1.25201,0.89597,1.23268,0.50837,0.43287,0.3943,0.19069,1.78408,1.41265,1.70028,0.000495125,0.000495125,0.000495125
63,689.646,1.23484,0.89989,1.23265,0.48734,0.42541,0.38628,0.18712,1.78447,1.42439,1.71302,0.00048275,0.00048275,0.00048275
64,1514.44,1.22233,0.86912,1.22054,0.51864,0.43214,0.4029,0.19725,1.79625,1.41931,1.72886,0.000470375,0.000470375,0.000470375
65,2239.73,1.22133,0.87076,1.21803,0.50397,0.44497,0.39703,0.1927,1.80126,1.42896,1.72439,0.000458,0.000458,0.000458
66,2933.31,1.2137,0.86044,1.21793,0.50339,0.43321,0.39748,0.19051,1.80003,1.44409,1.731,0.000445625,0.000445625,0.000445625
67,616.241,1.1753,0.7975,1.19575,0.48249,0.42645,0.39225,0.19009,1.82854,1.50753,1.76766,0.00043325,0.00043325,0.00043325
68,1221.64,1.16079,0.77193,1.18362,0.47421,0.44775,0.39444,0.19083,1.82312,1.50552,1.77932,0.000420875,0.000420875,0.000420875
69,1894.01,1.15857,0.77585,1.18081,0.50854,0.43594,0.39675,0.19002,1.82626,1.50964,1.78252,0.0004085,0.0004085,0.0004085
70,2507.29,1.15696,0.77996,1.1843,0.49805,0.441,0.40533,0.19105,1.82692,1.48228,1.7833,0.000396125,0.000396125,0.000396125
71,3131.93,1.19121,0.83582,1.19938,0.49507,0.43701,0.40743,0.19709,1.82093,1.45217,1.75657,0.00038375,0.00038375,0.00038375
72,3740,1.19047,0.83159,1.2009,0.46325,0.4579,0.40236,0.19683,1.81959,1.42912,1.77809,0.000371375,0.000371375,0.000371375
73,4348.53,1.19072,0.81492,1.19467,0.47677,0.45598,0.40287,0.196,1.81401,1.44949,1.77385,0.000359,0.000359,0.000359
74,5588.5,1.18302,0.80657,1.19157,0.4947,0.45166,0.40492,0.19756,1.82672,1.46327,1.77436,0.000346625,0.000346625,0.000346625
75,6197.63,1.17105,0.79854,1.18672,0.50266,0.42689,0.3997,0.19236,1.81684,1.46464,1.75525,0.00033425,0.00033425,0.00033425
